question,answer
What is CashSwap?,CashSwap is a peer-to-peer (P2P) exchange platform that connects users who want to swap physical cash for digital UPI money and vice versa.
How does CashSwap work?,"CashSwap matches nearby users who want to exchange cash with those who want UPI transfers. Once matched, users can contact each other to complete the exchange securely."
Is CashSwap safe to use?,"Yes, CashSwap uses secure authentication, encrypted connections, and verified user profiles to ensure a safe and transparent exchange process."
How can I sign up on CashSwap?,"You can sign up using your email or phone number. After verification, you can create your profile and start using the platform."
Do I need to verify my identity?,"Yes, users are encouraged to verify their accounts to increase trust and improve the chances of successful matches."
How can I edit my profile?,"Go to the 'My Account' page, where you can edit your name, profile photo, email, phone number, and location details."
Why does CashSwap ask for my location?,Your location helps match you with nearby users for faster and more convenient exchanges.
Can I hide my location?,"No, location sharing is essential for finding nearby users. However, only approximate locations are displayed to protect your privacy."
What is the wallet system in CashSwap?,The wallet system allows users to declare how much cash and UPI balance they are willing to exchange with others.
How do I add balance to my wallet?,You can update your available cash and UPI balance in your profile settings under the 'Wallet' section.
Why can’t I see other users?,"You may be the only user in your area, or others have empty wallets. Try increasing your search radius or wait for more users to join."
How can I increase my search radius?,Use the slider or input box in the 'Exchange' section to set a larger search radius.
What is the 'Exchange Module'?,"The Exchange Module is where you choose whether you want to swap 'Cash to UPI' or 'UPI to Cash', set your amount, and find matching users nearby."
How do I start an exchange?,"Go to the Exchange Module, choose your swap type, enter the amount, and click 'Search'. You’ll see a list of matching users."
Can I chat with other users before exchanging?,"Yes, once you find a match, you can use the in-app chat feature to communicate safely before proceeding."
Is my chat data secure?,"Yes, all chat messages are encrypted to protect your privacy and data security."
Why is my wallet showing 0 balance?,You might not have set your wallet balances yet. Go to your account and update your available cash and UPI amounts.
How do I switch between dark and light mode?,You can toggle between dark and light themes from the settings menu for your preferred viewing experience.
What should I do if I forget my password?,"Click 'Forgot Password' on the login page, enter your registered email, and follow the instructions to reset your password."
Can I delete my CashSwap account?,"Yes, you can request account deletion from the 'My Account' section. Once deleted, all your data will be permanently removed."
What is the 'About' page?,The 'About' page provides a detailed overview of how CashSwap works and its mission to simplify peer-to-peer cash and digital money exchanges.
How do I contact support?,You can contact support using the in-app chatbot or through the support email provided on the 'Contact Us' page.
What is the CashSwap chatbot?,"The CashSwap chatbot is your virtual assistant that helps answer common questions, guide you through the app, and troubleshoot issues."
Can I use CashSwap outside my country?,"Currently, CashSwap is optimized for use within supported regions. Future updates may include international support."
Why am I not getting any matches?,"Possible reasons include no nearby users, small search radius, or users with zero balances. Try expanding your radius or updating your wallet."
Does CashSwap charge any fees?,"No, CashSwap currently offers free matching and exchange services. Future premium features may include small transaction fees."
Can I block or report a user?,"Yes, if you encounter suspicious behavior, you can block or report users directly from the chat window."
How do I ensure my safety during an in-person exchange?,"Always meet in public, well-lit areas, verify details in advance, and avoid sharing unnecessary personal information."
Does CashSwap store my payment information?,"No, CashSwap does not store sensitive payment information like bank or UPI credentials."
Can I use multiple UPI accounts?,"You can use any UPI account you control, but ensure it matches your registered details for smooth transactions."
What happens if my match cancels the exchange?,You’ll be notified immediately and can search for another available match nearby.
Can I change my registered email or phone number?,"Yes, go to the 'My Account' section and update your registered contact details."
Why does my map not load?,"Ensure location access is enabled in your browser or app permissions, and check your internet connection."
Can I customize the chatbot?,"Currently, chatbot customization is limited. Future updates may allow personalization and theme selection."
What data does CashSwap collect?,"CashSwap collects only essential data like name, contact info, and approximate location for matching and security purposes."
Is CashSwap available on mobile?,"Yes, CashSwap is fully responsive and works smoothly on both mobile and desktop browsers."
Can I see my past exchanges?,"Yes, you can view your exchange history in the 'My Account' section under 'Exchange History'."
What should I do if I find a bug?,Report any technical issues through the chatbot or email support. Our team will resolve it promptly.
Does CashSwap offer referral bonuses?,"Referral bonuses are not yet available, but they may be introduced in future updates."
Can I use CashSwap without sharing my wallet info?,"No, wallet info is required for matching. Without it, the system cannot connect you with other users."
